District,Variety_Sampled,Age,Field_size(MSquared),Neighbor_ fields,lat,lon,Altitude,CBSD_Severity,CBSD_Incidence,CMD_Incidence,Adult_Population,Mean_adult_whitefly_per_Plant
Napak,Nase 14,4,1200,0,2.3688,34.38091,1202,2,6.7,0,67,2.2
Napak,Nase 13,5,600,3,2.34449,34.07118,1179,0,0,0,0,0
Napak,TME 14,5,4000,2,2.30888,34.3337,1176,2.1,53.3,0,9,0.3
Napak,Nase 14,5,2000,4,2.20295,34.24365,1162,0,0,0,161,5.4
Napak,TME 14,5,8000,8,2.11081,34.23367,1226,0,0,0,23,0.8
Napak,Nase 13,6,900,2,2.496,34.151,1131,0,0,0,3,0.1
Napak,Nase 14,6,12000,4,2.38072,33.99411,1095,2,6.7,0,10,0.3
Napak,TME 14,6,6400,6,2.36982,33.94761,1098,2,30,0,24,0.8
Napak,Nase 3,3,6000,4,2.35561,33.9063,1091,0,0,0,17,0.6
Napak,TME 14,6,6400,6,2.33655,33.88208,1099,2,20,0,26,0.9
Napak,Nase 13,4,2400,3,2.2947,33.93436,1088,2,3.3,0,16,0.5
Napak,Nase 14,6,400,0,2.4556,34.39146,1186,0,0,0,16,0.5
Napak,Nase 13,3,6000,4,2.25757,33.99311,1100,2,73.3,0,1,0
Nakapiripirit,Nase 14,5,7200,4,2.39014,34.5802,1269,2,10,0,44,1.5
Nakapiripirit,Nase 13,6,800,0,1.98688,34.72039,1390,0,0,0,11,0.4
Nakapiripirit,TME 14,4,600,0,1.89928,34.72837,1410,2,73.3,0,31,1
Nakapiripirit,Nase13,4,1600,6,1.88838,34.75035,1410,2,6.7,0,13,0.4
Nakapiripirit,0/0057,4,3200,10,1.89388,34.75777,1394,3,10,0,15,0.5
Nakapiripirit,Nase 13,5,900,7,1.8468,34.73364,1465,2,6.7,0,1,0
Nakapiripirit,Nase 13,6,900,0,1.87346,34.5784,1134,2,13.3,0,4,0.1
Nakapiripirit,TME 14,6,400,2,1.94372,34.55842,1144,2,16.7,0,6,0.2
Nakapiripirit,TME 14,3,900,1,1.9766,34.55933,1162,2,33.3,0,0,0
Nakapiripirit,Nase14,4,900,8,2.08879,34.62077,1241,0,0,0,3,0.1
Kaabong,Teraka,6,400,0,3.42172,34.14448,1509,0,0,0,1,0
Kaabong,TME 14,6,300,1,3.50669,34.14124,1532,0,0,0,1,0
Kaabong,Nase 14,6,2500,0,3.53486,34.13098,1542,0,0,0,0,0
Kaabong,Nase 14,6,200,0,3.52597,34.09874,1581,0,0,0,0,0
Kaabong,Nase 14,6,4800,0,3.56016,34.02993,1489,0,0,0,0,0
Kaabong,Bao,6,4800,4,3.57338,34.02273,1455,0,0,0,114,3.8
Kaabong,Local 1,5,6000,5,3.57268,33.97099,1424,0,0,93.3,3,0.1
Kaabong,Teraka,5,1600,2,3.58285,33.9352,1419,0,0,90,47,1.6
Kaabong,Bukalasa,6,2500,0,3.57454,33.91035,1387,0,0,60,9,0.3
Kaabong,Teraka,4,3600,6,3.5416,33.91166,1403,0,0,100,6,0.2
Kaabong,Nase 14,4,3600,0,3.56001,33.72652,1341,2,16.7,0,2,0.1
Kaabong,Naase 13,3,1800,4,3.54924,33.7138,1365,0,0,0,1,0
Kaabong,Naase 13,6,5525,6,3.49437,33.67351,1309,2,10,0,6,0.2
Kaabong,TME 14,4,7200,1,3.58631,33.68396,1442,0,0,0,6,0.2
Kaabong,Akena ,5,2500,3,3.70491,33.87938,1401,0,0,0,1,0
Kaabong,Akena ,3,6000,1,3.68752,33.94138,1413,0,0,0,0,0
Kaabong,Nase 13,4,1600,4,3.67117,33.93486,1397,2,3.3,0,10,0.3
Kaabong,Nase 14,4,200,1,3.65662,34.28033,1986,0,0,0,7,0.2
Kaabong,Nase 13,6,800,4,3.65229,34.28982,1903,0,0,10,12,0.4
Kaabong,Nase 13,4,900,3,3.6533,34.28269,1959,0,0,0,0,0
Kaabong,tme 14,6,400,1,2.87348,34.03921,1189,2,3.3,0,0,0
Kotido,Nase 13,6,900,3,2.85445,34.07503,1185,2,30,0,0,0
Kotido,Nase 13,6,9000,6,2.82939,34.01372,1176,0,0,0,0,0
Kotido,Nase 13,6,3600,12,2.81838,34.0058,1170,2,10,0,8,0.3
Kotido,Teraka,6,800,3,3.01663,33.97735,1251,0,0,100,0,0
Kotido,TME 204,6,9600,1,3.07737,33.93277,1251,2.1,96.7,0,6,0.2
Kotido,Nase 13,6,400,1,3.16664,33.79296,1157,2,13.3,0,3,0.1
Kotido,Nase 13,5,60,3,3.16971,33.77923,1147,2,6.7,0,3,0.1
Kotido,TME 14,6,1600,10,3.20169,33.80809,1156,0,0,0,8,0.3
Kotido,Nase 13,6,1600,10,3.20329,33.81002,1159,2,10,0,0,0
Kotido,Nase 13,6,2000,12,3.17231,33.78989,1164,0,0,0,10,0.3
Kotido,Nase 13,3,1600,3,3.14411,33.82572,1178,2,13.3,0,1,0
Kotido,Nase 13,6,4000,4,2.97693,33.94682,1218,2,6.7,0,9,0.3
Kotido,Nase 13,3,600,2,2.93688,33.88272,1256,2,6.7,0,3,0.1
Kotido,Nase 14,4,4800,2,2.90422,33.83593,1242,0,0,0,63,2.1
Abim,0/0057,3,2500,2,2.87639,33.80766,1238,0,0,0,0,0
Abim,TME 204,4,12000,6,2.72977,33.66508,1166,0,0,0,8,0.3
Abim,Naase 13,6,2400,0,2.71149,33.72045,1207,2,16.7,0,3,0.1
Abim,Nase 13,6,1500,3,2.66284,33.71629,1162,2,20,0,1,0
